"articleid","subarticleid","articlename","external_str_id","ecrlongname","ecrsectionid","sectionname","articlebarcode","unitname","sectiontype","rest","flgbase","subarticlebarcode","flg_disable","flg_disable_name","preparemoment_name","baseprice","ecological_class","articletype","article_type_name","tax_system","tag_1212","tag_1162","tag_1162_name","subarticle_marking","subarticle_marking_name","has_any_bc_marking","has_mrc","isloto","class_path","strpath"
"1000175","1000176","GD100(АИ-100)","26","Бензин G-Drive 100","174550","ПРОЧИЕ ГСМ","26","л/1000","TYPE_FUEL",NULL,"SET_BASE","26","SET_NOTDISABLE","В работе","Нет","12300",1,"AT_GOODS","Товар","ОСН",NULL,"UMCTOG_NotMarked","Нет","UMCTOG_NotMarked","Нет","UMCTOG_NotMarked",0,0,"174550","ПРОЧИЕ ГСМ"
"1000178","1000179","Напиток Coca-Cola","2665","Напиток Coca-Cola","2","СОП.ТОВАРЫ","453454534","шт/1","TYPE_GOODS","3000","SET_BASE","453454534","SET_NOTDISABLE","В работе","Нет","20000",NULL,"AT_GOODS","Товар","ОСН",NULL,"UMCTOG_NotMarked","Нет","UMCTOG_NotMarked","Нет","UMCTOG_NotMarked",0,0,"2","СОП.ТОВАРЫ"
"1000178","1163242","Напиток Coca-Cola","2665","Напиток Coca-Cola","2","СОП.ТОВАРЫ","4601351013198","шт/1","TYPE_GOODS","3000","SET_NOTBASE","4601351013198","SET_NOTDISABLE","В работе","Нет","20000",NULL,"AT_GOODS","Товар","ОСН",NULL,"UMCTOG_NotMarked","Нет","UMCTOG_NotMarked","Нет","UMCTOG_NotMarked",0,0,"2","СОП.ТОВАРЫ"
"1000181","1000182","Сыр","2681","Сыр","2","СОП.ТОВАРЫ","46494542","шт/1","TYPE_GOODS",NULL,"SET_NOTBASE","46494542","SET_DISABLE","Блокирован","Нет","30000",NULL,"AT_GOODS","Товар","ОСН",NULL,"UMCTOG_NotMarked","Нет","UMCTOG_NotMarked","Нет","UMCTOG_NotMarked",0,0,"2","СОП.ТОВАРЫ"
"1000181","1192239","Сыр","2681","Сыр","2","СОП.ТОВАРЫ","11111111111","шт/1","TYPE_GOODS",NULL,"SET_NOTBASE","11111111111","SET_DISABLE","Блокирован","Нет","30000",NULL,"AT_GOODS","Товар","ОСН",NULL,"UMCTOG_NotMarked","Нет","UMCTOG_NotMarked","Нет","UMCTOG_NotMarked",0,0,"2","СОП.ТОВАРЫ"
"1000181","1192255","Сыр","2681","Сыр","2","СОП.ТОВАРЫ","46494542","шт/1","TYPE_GOODS",NULL,"SET_BASE","46494542","SET_NOTDISABLE","В работе","Нет","30000",NULL,"AT_GOODS","Товар","ОСН",NULL,"UMCTOG_NotMarked","Нет","UMCTOG_NotMarked","Нет","UMCTOG_NotMarked",0,0,"2","СОП.ТОВАРЫ"
"1000184","1000185","ОПТИ92(АИ-92)","27","Бензин ОПТИ 92","174544","АИ-92","27","л/1000","TYPE_FUEL","2694784","SET_BASE","27","SET_NOTDISABLE","В работе","Нет","3999",NULL,"AT_GOODS","Товар","ОСН",NULL,"UMCTOG_NotMarked","Нет","UMCTOG_NotMarked","Нет","UMCTOG_NotMarked",0,0,"174543.174544","НП/АИ-92"
"1000187","1000188","ОПТИ95(АИ-95)","28","Бензин ОПТИ 95","174545","АИ-95","28","л/1000","TYPE_FUEL",NULL,"SET_BASE","28","SET_NOTDISABLE","В работе","Нет","12300",NULL,"AT_GOODS","Товар","ОСН",NULL,"UMCTOG_NotMarked","Нет","UMCTOG_NotMarked","Нет","UMCTOG_NotMarked",0,0,"174543.174545","НП/АИ-95"
"1000190","1000191","GD100(АИ-100)","29","Бензин G-Drive 100 (с присадкой)","174546","ДТ","29","л/1000","TYPE_FUEL",NULL,"SET_BASE","29","SET_NOTDISABLE","В работе","Нет","12300",1,"AT_GOODS","Товар","ОСН",NULL,"UMCTOG_NotMarked","Нет","UMCTOG_NotMarked","Нет","UMCTOG_NotMarked",0,0,"174543.174546","НП/ДТ"
"1000202","1000203","ДТОПТИ(ДТ)","31","ДТ ОПТИ летнее","174546","ДТ","31","л/1000","TYPE_FUEL",NULL,"SET_BASE","31","SET_NOTDISABLE","В работе","Нет","12300",1,"AT_GOODS","Товар","ОСН",NULL,"UMCTOG_NotMarked","Нет","UMCTOG_NotMarked","Нет","UMCTOG_NotMarked",0,0,"174543.174546","НП/ДТ"
